manufactered_date,brand,series,model,name,categories,for_brand,for_lens_model,with_adapter,zooms_primes,focal_lengths,special_designs,filter_thread,brand_lens_hood,dimensions,format_compatibility,,,,,,,,,,,,,
7/25/16,Lensbaby,Composer Pro II,,Composer Pro II with Sweet 35 Optic,Special Effects Lenses,Pentax,Pentax K,,,None,,46mm,x,"2.5 x 2.5 x 2.25"" (6.3 x 6.3 x 5.7 cm)",,,,,,,,,,,,,,
7/25/16,Lensbaby,Composer Pro II,,Composer Pro II with Sweet 35 Optic,Special Effects Lenses,Sony,Sony A,,,None,,46mm,x,"2.5 x 2.5 x 2.25"" (6.3 x 6.3 x 5.7 cm)",,,,,,,,,,,,,,
7/25/16,Lensbaby,Composer Pro II,,Composer Pro II with Sweet 35 Optic,Special Effects Lenses,Sony,Sony E,,,None,,46mm,x,"2.5 x 2.5 x 2.25"" (6.3 x 6.3 x 5.7 cm)",,,,,,,,,,,,,,
7/25/16,Lensbaby,Composer Pro II,,Composer Pro II with Sweet 50 Optic,Special Effects Lenses,Canon,Canon EF,,,None,,46mm,x,"2.5 x 2.5 x 2.25"" (6.3 x 6.3 x 5.7 cm)",,,,,,,,,,,,,,
7/25/16,Lensbaby,Composer Pro II,,Composer Pro II with Sweet 50 Optic,Special Effects Lenses,Fujifilm,X-Mount,,,None,,46mm,x,"2.5 x 2.5 x 2.25"" (6.3 x 6.3 x 5.7 cm)",,,,,,,,,,,,,,
7/25/16,Lensbaby,Composer Pro II,,Composer Pro II with Sweet 50 Optic,Special Effects Lenses,Samsung,Samsung NX,,,None,,46mm,x,"2.5 x 2.5 x 2.25"" (6.3 x 6.3 x 5.7 cm)",,,,,,,,,,,,,,
7/25/16,Lensbaby,Composer Pro II,,Composer Pro II with Sweet 50 Optic,Special Effects Lenses,"Panasonic, Olympus",Micro Four Thirds,,,None,,46mm,x,"2.5 x 2.5 x 2.25"" (6.3 x 6.3 x 5.7 cm)",,,,,,,,,,,,,,
7/25/16,Lensbaby,Composer Pro II,,Composer Pro II with Sweet 50 Optic,Special Effects Lenses,Nikon,Nikon F,,,None,,46mm,x,"2.5 x 2.5 x 2.25"" (6.3 x 6.3 x 5.7 cm)",,,,,,,,,,,,,,
7/25/16,Lensbaby,Composer Pro II,,Composer Pro II with Sweet 50 Optic,Special Effects Lenses,Pentax,Pentax K,,,None,,46mm,x,"2.5 x 2.5 x 2.25"" (6.3 x 6.3 x 5.7 cm)",,,,,,,,,,,,,,
7/25/16,Lensbaby,Composer Pro II,,Composer Pro II with Sweet 50 Optic,Special Effects Lenses,Sony,Sony A,,,None,,46mm,x,"2.5 x 2.5 x 2.25"" (6.3 x 6.3 x 5.7 cm)",,,,,,,,,,,,,,
7/25/16,Lensbaby,Composer Pro II,,Composer Pro II with Sweet 50 Optic,Special Effects Lenses,Sony,Sony E,,,None,,46mm,x,"2.5 x 2.5 x 2.25"" (6.3 x 6.3 x 5.7 cm)",,,,,,,,,,,,,,
9/15/14,Lensbaby,Composer Pro,,Composer Pro Macro Pack,Special Effects Lenses,Canon,Canon EF,,,None,Macro,37mm,x,"3 x 3 x 3"" (7.62 x 7.62 x 7.62 cm)",,,,,,,,,,,,,,
9/15/14,Lensbaby,Composer Pro,,Composer Pro Macro Pack,Special Effects Lenses,Nikon,Nikon F,,,None,Macro,46mm,x,"3 x 3 x 3"" (7.62 x 7.62 x 7.62 cm)",,,,,,,,,,,,,,
3/9/11,Lensbaby,Composer Pro,LBCPDG,Composer Pro With Double Glass Optic,Special Effects Lenses,Canon,Canon EF,,,None,,37mm,x,,,,,,,,,,,,,,,
12/17/12,Lensbaby,Composer Pro,LBCPDG,Composer Pro With Double Glass Optic,Special Effects Lenses,Canon,Canon,,,None,,37mm,x,,,,,,,,,,,,,,,
3/9/11,Lensbaby,Composer Pro,LBCPDG,Composer Pro With Double Glass Optic,Special Effects Lenses,Nikon,Nikon,,,None,,37mm,x,,,,,,,,,,,,,,,
12/17/12,Lensbaby,Composer Pro,LBCPDG,Composer Pro With Double Glass Optic,Special Effects Lenses,Nikon,Nikon,,,None,,37mm,x,,,,,,,,,,,,,,,
3/9/11,Lensbaby,Composer Pro,LBCPDG,Composer Pro With Double Glass Optic,Special Effects Lenses,Olympus,Four Thirds,,,None,,37mm,x,,,,,,,,,,,,,,,
12/17/12,Lensbaby,Composer Pro,LBCPDG,Composer Pro With Double Glass Optic,Special Effects Lenses,Olympus,Four Thirds,,,None,,37mm,x,,,,,,,,,,,,,,,
3/9/11,Lensbaby,Composer Pro,LBCPDG,Composer Pro With Double Glass Optic,Special Effects Lenses,Pentax,Pentax,,,None,,37mm,x,,,,,,,,,,,,,,,
12/17/12,Lensbaby,Composer Pro,LBCPDG,Composer Pro With Double Glass Optic,Special Effects Lenses,Pentax,Pentax K,,,None,,37mm,x,,,,,,,,,,,,,,,
3/9/11,Lensbaby,Composer Pro,LBCPDG,Composer Pro With Double Glass Optic,Special Effects Lenses,Sony,Sony,,,None,,37mm,x,,,,,,,,,,,,,,,
12/17/12,Lensbaby,Composer Pro,LBCPDG,Composer Pro With Double Glass Optic,Special Effects Lenses,Sony,Sony,,,None,,37mm,x,,,,,,,,,,,,,,,
3/28/12,Lensbaby,Composer Pro,LBCPDG,Composer Pro with Double Glass Optic,Special Effects Lenses,"Panasonic, Olympus",Micro Four Thirds,,,None,,37mm,x,,,,,,,,,,,,,,,
12/17/12,Lensbaby,Composer Pro,,Composer Pro with Double Glass Optic,Special Effects Lenses,"Panasonic, Olympus",Micro Four Thirds,,,None,,37mm,x,,,,,,,,,,,,,,,
3/28/12,Lensbaby,Composer Pro,LBCPDG,Composer Pro with Double Glass Optic,Special Effects Lenses,Samsung,Samsung NX,,,None,,37mm,x,,,,,,,,,,,,,,,
12/17/12,Lensbaby,Composer Pro,,Composer Pro with Double Glass Optic,Special Effects Lenses,Samsung,Samsung NX,,,None,,37mm,x,,,,,,,,,,,,,,,
3/28/12,Lensbaby,Composer Pro,LBCPDG,Composer Pro with Double Glass Optic,Special Effects Lenses,Sony,Sony E,,,None,,37mm,x,,,,,,,,,,,,,,,
12/17/12,Lensbaby,Composer Pro,,Composer Pro with Double Glass Optic,Special Effects Lenses,Sony,Sony,,,None,,37mm,x,,,,,,,,,,,,,,,
9/12/13,Lensbaby,Composer Pro,LBCP80,Composer Pro with Edge 80 Optic,Special Effects Lenses,Canon,Canon,,,None,,46mm,x,"3.25 x 2.5"" (5.7 x 6.4cm)",,,,,,,,,,,,,,
9/12/13,Lensbaby,Composer Pro,LBCP80,Composer Pro with Edge 80 Optic,Special Effects Lenses,Nikon,Nikon,,,None,,46mm,x,"3.25 x 2.5"" (5.7 x 6.4cm)",,,,,,,,,,,,,,
5/20/15,Lensbaby,Composer Pro,LBCP35,Composer Pro with Sweet 35 Optic,Special Effects Lenses,Fujifilm,Fujifilm X,,,None,,46mm,x,"Composer Pro: 2.25 x 2.5 x 2.5"" (5.71 x 6.35 x 6.35cm)- Sweet 35 Optic: 3.5 x 3.5 x 5"" (8.89 x 8.89 x 12.7cm)",,,,,,,,,,,,,,
9/11/13,Lensbaby,Composer Pro,LBCP35,Composer Pro with Sweet 35 Optic,Special Effects Lenses,"Panasonic, Olympus",Micro Four Thirds,,,None,,46mm,x,"Composer Pro: 2.25 x 2.5 x 2.5"" (5.71 x 6.35 x 6.35cm)- Sweet 35 Optic: 3.5 x 3.5 x 5"" (8.89 x 8.89 x 12.7cm)",,,,,,,,,,,,,,
8/14/12,Lensbaby,Composer Pro,LBCPPL,Composer Pro with Sweet 35 Optic,Special Effects Lenses,,Other,,,None,,46mm,x,,,,,,,,,,,,,,,
2/27/15,Lensbaby,Composer Pro,LBCP35,Composer Pro with Sweet 35 Optic,Special Effects Lenses,Samsung,Samsung NX,,,None,,46mm,x,"Composer Pro: 2.25 x 2.5 x 2.5"" (5.71 x 6.35 x 6.35cm)- Sweet 35 Optic: 3.5 x 3.5 x 5"" (8.89 x 8.89 x 12.7cm)",,,,,,,,,,,,,,
3/9/11,Lensbaby,Composer Pro,LBCP35,Composer Pro with Sweet 35 Optic,Special Effects Lenses,Canon,Canon EF,,,None,,46mm,x,"Composer Pro: 2.25 x 2.5 x 2.5"" (5.71 x 6.35 x 6.35cm)- Sweet 35 Optic: 3.5 x 3.5 x 5"" (8.89 x 8.89 x 12.7cm)",,,,,,,,,,,,,,
12/17/12,Lensbaby,Composer Pro,LBCP35,Composer Pro with Sweet 35 Optic,Special Effects Lenses,Canon,Canon,,,None,,46mm,x,,,,,,,,,,,,,,,
3/9/11,Lensbaby,Composer Pro,LBCP35,Composer Pro with Sweet 35 Optic,Special Effects Lenses,Nikon,Nikon F,,,None,,46mm,x,"Composer Pro: 2.25 x 2.5 x 2.5"" (5.71 x 6.35 x 6.35cm)- Sweet 35 Optic: 3.5 x 3.5 x 5"" (8.89 x 8.89 x 12.7cm)",,,,,,,,,,,,,,
12/17/12,Lensbaby,Composer Pro,LBCP35,Composer Pro with Sweet 35 Optic,Special Effects Lenses,Nikon,Nikon,,,None,,46mm,x,,,,,,,,,,,,,,,
3/9/11,Lensbaby,Composer Pro,LBCP35,Composer Pro with Sweet 35 Optic,Special Effects Lenses,"Panasonic, Olympus",Four Thirds,,,None,,46mm,x,"Composer Pro: 2.25 x 2.5 x 2.5"" (5.71 x 6.35 x 6.35cm)- Sweet 35 Optic: 3.5 x 3.5 x 5"" (8.89 x 8.89 x 12.7cm)",,,,,,,,,,,,,,
12/17/12,Lensbaby,Composer Pro,LBCP35,Composer Pro with Sweet 35 Optic,Special Effects Lenses,Olympus,Four Thirds,,,None,,46mm,x,,,,,,,,,,,,,,,
3/9/11,Lensbaby,Composer Pro,LBCP35,Composer Pro with Sweet 35 Optic,Special Effects Lenses,Pentax,Pentax K,,,None,,46mm,x,"Composer Pro: 2.25 x 2.5 x 2.5"" (5.71 x 6.35 x 6.35cm)- Sweet 35 Optic: 3.5 x 3.5 x 5"" (8.89 x 8.89 x 12.7cm)",,,,,,,,,,,,,,
12/17/12,Lensbaby,Composer Pro,LBCP35,Composer Pro with Sweet 35 Optic,Special Effects Lenses,Pentax,Pentax K,,,None,,46mm,x,,,,,,,,,,,,,,,
3/9/11,Lensbaby,Composer Pro,LBCP35,Composer Pro with Sweet 35 Optic,Special Effects Lenses,Sony,Sony A,,,None,,46mm,x,"Composer Pro: 2.25 x 2.5 x 2.5"" (5.71 x 6.35 x 6.35cm)- Sweet 35 Optic: 3.5 x 3.5 x 5"" (8.89 x 8.89 x 12.7cm)",,,,,,,,,,,,,,
12/17/12,Lensbaby,Composer Pro,LBCP35,Composer Pro with Sweet 35 Optic,Special Effects Lenses,Sony,Sony,,,None,,46mm,x,,,,,,,,,,,,,,,
7/24/14,Lensbaby,Composer Pro,LBCP35,Composer Pro with Sweet 35 Optic,Special Effects Lenses,Sony,Sony E,,,None,,46mm,x,"Composer Pro: 2.25 x 2.5 x 2.5"" (5.71 x 6.35 x 6.35cm)- Sweet 35 Optic: 3.5 x 3.5 x 5"" (8.89 x 8.89 x 12.7cm)",,,,,,,,,,,,,,
5/20/15,Lensbaby,Composer Pro,LBCP50,Composer Pro with Sweet 50 Optic,Special Effects Lenses,Fujifilm,Fujifilm X,,,None,,46mm,x,"Sweet 50 Optic: 1.9 x 1.9"" (4.9 x 4.9cm)- Composer Pro with Sweet 50: 2.25 x 2.50 x 2.50"" (5.7 x 6.4 x 6.4cm)",,,,,,,,,,,,,,
7/14/14,Lensbaby,Composer Pro,LBCP50,Composer Pro with Sweet 50 Optic,Special Effects Lenses,"Panasonic, Olympus",Micro Four Thirds,,,None,,46mm,x,"Sweet 50 Optic: 1.9 x 1.9"" (4.9 x 4.9cm)- Composer Pro with Sweet 50: 2.25 x 2.50 x 2.50"" (5.7 x 6.4 x 6.4cm)",,,,,,,,,,,,,,
7/14/14,Lensbaby,Composer Pro,LBCP50,Composer Pro with Sweet 50 Optic,Special Effects Lenses,Canon,Canon EF,,,None,,46mm,x,"Sweet 50 Optic: 1.9 x 1.9"" (4.9 x 4.9cm)- Composer Pro with Sweet 50: 2.25 x 2.50 x 2.50"" (5.7 x 6.4 x 6.4cm)",,,,,,,,,,,,,,
7/14/14,Lensbaby,Composer Pro,LBCP50,Composer Pro with Sweet 50 Optic,Special Effects Lenses,Nikon,Nikon F,,,None,,46mm,x,"Sweet 50 Optic: 1.9 x 1.9"" (4.9 x 4.9cm)- Composer Pro with Sweet 50: 2.25 x 2.50 x 2.50"" (5.7 x 6.4 x 6.4cm)",,,,,,,,,,,,,,
7/14/14,Lensbaby,Composer Pro,LBCP50,Composer Pro with Sweet 50 Optic,Special Effects Lenses,"Panasonic, Olympus",Four Thirds,,,None,,46mm,x,"Sweet 50 Optic: 1.9 x 1.9"" (4.9 x 4.9cm)- Composer Pro with Sweet 50: 2.25 x 2.50 x 2.50"" (5.7 x 6.4 x 6.4cm)",,,,,,,,,,,,,,
7/14/14,Lensbaby,Composer Pro,LBCP50,Composer Pro with Sweet 50 Optic,Special Effects Lenses,Pentax,Pentax K,,,None,,46mm,x,"Sweet 50 Optic: 1.9 x 1.9"" (4.9 x 4.9cm)- Composer Pro with Sweet 50: 2.25 x 2.50 x 2.50"" (5.7 x 6.4 x 6.4cm)",,,,,,,,,,,,,,
7/14/14,Lensbaby,Composer Pro,LBCP50,Composer Pro with Sweet 50 Optic,Special Effects Lenses,Sony,Sony A,,,None,,46mm,x,"Sweet 50 Optic: 1.9 x 1.9"" (4.9 x 4.9cm)- Composer Pro with Sweet 50: 2.25 x 2.50 x 2.50"" (5.7 x 6.4 x 6.4cm)",,,,,,,,,,,,,,
7/14/14,Lensbaby,Composer Pro,LBCP50,Composer Pro with Sweet 50 Optic,Special Effects Lenses,Samsung,Samsung NX,,,None,,46mm,x,"Sweet 50 Optic: 1.9 x 1.9"" (4.9 x 4.9cm)- Composer Pro with Sweet 50: 2.25 x 2.50 x 2.50"" (5.7 x 6.4 x 6.4cm)",,,,,,,,,,,,,,
7/14/14,Lensbaby,Composer Pro,LBCP50,Composer Pro with Sweet 50 Optic,Special Effects Lenses,Sony,Sony E,,,None,,46mm,x,"Sweet 50 Optic: 1.9 x 1.9"" (4.9 x 4.9cm)- Composer Pro with Sweet 50: 2.25 x 2.50 x 2.50"" (5.7 x 6.4 x 6.4cm)",,,,,,,,,,,,,,
8/25/08,Lensbaby,Composer Special Effects,,Composer Special Effects SLR,Special Effects Lenses,Canon,Canon EF,,,None,,37mm,x,,,,,,,,,,,,,,,
8/12/10,Lensbaby,Composer Special Effects,,Composer Special Effects SLR,Special Effects Lenses,Canon,Canon EF,,,None,,37mm,x,,,,,,,,,,,,,,,
8/12/10,Lensbaby,Composer Special Effects,,Composer Special Effects SLR,Special Effects Lenses,Canon,Canon EF,,,None,Fisheye,37mm,x,,,,,,,,,,,,,,,
8/12/10,Lensbaby,Composer Special Effects,,Composer Special Effects SLR,Special Effects Lenses,Canon,Canon EF,,,None,,37mm,x,,,,,,,,,,,,,,,
8/25/08,Lensbaby,Composer Special Effects,,Composer Special Effects SLR,Special Effects Lenses,Nikon,Nikon F,,,None,,37mm,x,,,,,,,,,,,,,,,
8/13/10,Lensbaby,Composer Special Effects,,Composer Special Effects SLR,Special Effects Lenses,Nikon,Nikon F,,,None,,37mm,x,,,,,,,,,,,,,,,
8/13/10,Lensbaby,Composer Special Effects,,Composer Special Effects SLR,Special Effects Lenses,Nikon,Nikon F,,,None,Fisheye,37mm,x,,,,,,,,,,,,,,,
8/13/10,Lensbaby,Composer Special Effects,,Composer Special Effects SLR,Special Effects Lenses,Nikon,Nikon F,,,None,,37mm,x,,,,,,,,,,,,,,,
8/25/08,Lensbaby,Composer Special Effects,,Composer Special Effects SLR,Special Effects Lenses,Olympus,Four Thirds,,,None,,37mm,x,,,,,,,,,,,,,,,
8/13/10,Lensbaby,Composer Special Effects,,Composer Special Effects SLR,Special Effects Lenses,Olympus,Four Thirds,,,None,,37mm,x,,,,,,,,,,,,,,,
8/13/10,Lensbaby,Composer Special Effects,,Composer Special Effects SLR,Special Effects Lenses,Olympus,Four Thirds,,,None,Fisheye,37mm,x,,,,,,,,,,,,,,,
8/13/10,Lensbaby,Composer Special Effects,,Composer Special Effects SLR,Special Effects Lenses,Olympus,Four Thirds,,,None,,37mm,x,,,,,,,,,,,,,,,
8/25/08,Lensbaby,Composer Special Effects,LBCP,Composer Special Effects SLR,Special Effects Lenses,Pentax,Pentax K,,,None,,37mm,x,,,,,,,,,,,,,,,
8/12/10,Lensbaby,Composer Special Effects,,Composer Special Effects SLR,Special Effects Lenses,Pentax,Pentax K,,,None,,37mm,x,,,,,,,,,,,,,,,
8/12/10,Lensbaby,Composer Special Effects,,Composer Special Effects SLR,Special Effects Lenses,Pentax,Pentax K,,,None,Fisheye,37mm,x,,,,,,,,,,,,,,,
8/12/10,Lensbaby,Composer Special Effects,,Composer Special Effects SLR,Special Effects Lenses,Pentax,Pentax K,,,None,,37mm,x,,,,,,,,,,,,,,,
8/25/08,Lensbaby,Composer Special Effects,,Composer Special Effects SLR,Special Effects Lenses,Sony,Sony,,,None,,37mm,x,,,,,,,,,,,,,,,
8/12/10,Lensbaby,Composer Special Effects,,Composer Special Effects SLR,Special Effects Lenses,Sony,Sony,,,None,,37mm,x,,,,,,,,,,,,,,,
8/12/10,Lensbaby,Composer Special Effects,,Composer Special Effects SLR,Special Effects Lenses,Sony,Sony,,,None,Fisheye,37mm,x,,,,,,,,,,,,,,,
8/12/10,Lensbaby,Composer Special Effects,,Composer Special Effects SLR,Special Effects Lenses,Sony,Sony,,,None,,37mm,x,,,,,,,,,,,,,,,
3/21/11,Lensbaby,Composer,,Composer with Tilt Transformer,Special Effects Lenses,Sony,NEX,,,None,,None,x,,,,,,,,,,,,,,,
9/15/10,Lensbaby,Composer,LBCTT,Composer With Tilt Transformer ,Special Effects Lenses,"Panasonic, Olympus",Micro Four Thirds,,,None,,None,x,,,,,,,,,,,,,,,
9/15/10,Lensbaby,Composer,LBCTT,Composer With Tilt Transformer ,Special Effects Lenses,Sony,Sony,,,None,,None,x,,,,,,,,,,,,,,,
8/25/08,Lensbaby,Control Freak Special Effects,LBCF,Control Freak Special Effects SLR,Special Effects Lenses,Canon,Canon EF,,,None,,37mm,x,,,,,,,,,,,,,,,
8/25/08,Lensbaby,Control Freak Special Effects,LBCF,Control Freak Special Effects SLR,Special Effects Lenses,Leica,Leica R,,,None,,37mm,x,,,,,,,,,,,,,,,
8/25/08,Lensbaby,Control Freak Special Effects,LBCF,Control Freak Special Effects SLR,Special Effects Lenses,Nikon,Nikon F,,,None,,37mm,x,,,,,,,,,,,,,,,
8/25/08,Lensbaby,Control Freak Special Effects,LBCF,Control Freak Special Effects SLR,Special Effects Lenses,Olympus,Four Thirds,,,None,,37mm,x,,,,,,,,,,,,,,,
8/25/08,Lensbaby,Control Freak Special Effects,LBCF,Control Freak Special Effects SLR,Special Effects Lenses,Pentax,Pentax K,,,None,,37mm,x,,,,,,,,,,,,,,,
8/25/08,Lensbaby,Control Freak Special Effects,LBCF,Control Freak Special Effects SLR,Special Effects Lenses,Sony,Sony,,,None,,37mm,x,,,,,,,,,,,,,,,
11/3/11,Lensbaby,Composer Pro,CEKB,Creative Effects System Kit,Special Effects Lenses,Canon,Canon,,,None,,,x,,,,,,,,,,,,,,,
11/3/11,Lensbaby,Composer Pro,CEKB,Creative Effects System Kit,Special Effects Lenses,Nikon,Nikon,,,None,,,x,,,,,,,,,,,,,,,
12/17/12,Lensbaby,Composer Pro,,Creative Effects System with Edge 80 Optic,Special Effects Lenses,Canon,Canon,,,None,,,x,,,,,,,,,,,,,,,
12/17/12,Lensbaby,Composer Pro,,Creative Effects System with Edge 80 Optic,Special Effects Lenses,Nikon,Nikon,,,None,,,x,,,,,,,,,,,,,,,
8/26/08,Lensbaby,,,Double Glass Optic,Special Effects Lenses,None,None,,,None,,,x,,,,,,,,,,,,,,,
12/21/15,Lensbaby,Edge 50 Optic,,Edge 50 Optic,Special Effects Lenses,None,None,,,None,,46mm,x,"1.9 x 1.9 x 2.1"" (4.8 x 4.8 x 5.4cm)",,,,,,,,,,,,,,
2/3/12,Lensbaby,Edge 80 Optic,LBE80,Edge 80 Optic,Special Effects Lenses,None,None,,,None,,46mm,x,Not specified by manufacturer,,,,,,,,,,,,,,
6/29/10,Lensbaby,,,Fisheye Adapter,Special Effects Lenses,None,None,,,None,Fisheye,None,x,,,,,,,,,,,,,,,
10/20/09,Lensbaby,Fisheye Optic,,Fisheye Optic,Special Effects Lenses,None,None,,,None,Fisheye,None,x,Not Specified By Manufacturer,,,,,,,,,,,,,,
10/24/06,Lensbaby,Lensbaby 2.0 Special Effects,,Lensbaby 2.0 Special Effects,Special Effects Lenses,Canon,Canon,,,None,,37mm,x,,,,,,,,,,,,,,,
10/24/06,Lensbaby,Lensbaby 2.0 Special Effects,LB2,Lensbaby 2.0 Special Effects,Special Effects Lenses,Leica,Leica R,,,None,,37mm,x,,,,,,,,,,,,,,,
10/24/06,Lensbaby,Lensbaby 2.0 Special Effects,LB2,Lensbaby 2.0 Special Effects,Special Effects Lenses,Minolta,Minolta Maxxum,,,None,,37mm,x,,,,,,,,,,,,,,,
10/24/06,Lensbaby,Lensbaby 2.0 Special Effects,LB2,Lensbaby 2.0 Special Effects,Special Effects Lenses,Nikon,Nikon,,,None,,37mm,x,,,,,,,,,,,,,,,
10/24/06,Lensbaby,Lensbaby 2.0 Special Effects,LB2,Lensbaby 2.0 Special Effects,Special Effects Lenses,Olympus,Four Thirds,,,None,,37mm,x,,,,,,,,,,,,,,,
10/24/06,Lensbaby,Lensbaby 2.0 Special Effects,LB2,Lensbaby 2.0 Special Effects,Special Effects Lenses,Pentax,Pentax K,,,None,,37mm,x,,,,,,,,,,,,,,,
10/24/06,Lensbaby,Lensbaby 3G Special Effects,LB3G,Lensbaby 3G Special Effects,Special Effects Lenses,Sony,Sony / Minolta,,,None,,37mm,x,,,,,,,,,,,,,,,
10/24/06,Lensbaby,Lensbaby 3G Special Effects,LB3G,Lensbaby 3G Special Effects,Special Effects Lenses,Nikon,Nikon,,,None,,37mm,x,,,,,,,,,,,,,,,
10/24/06,Lensbaby,Lensbaby 3G Special Effects,LB3G,Lensbaby 3G Special Effects,Special Effects Lenses,Olympus,Olympus,,,None,,37mm,x,,,,,,,,,,,,,,,
10/24/06,Lensbaby,Lensbaby 3G Special Effects,LB3G,Lensbaby 3G Special Effects,Special Effects Lenses,Pentax,Pentax K,,,None,,37mm,x,,,,,,,,,,,,,,,
11/6/12,Lensbaby,,LBS,Lensbaby Spark Display Pack,Special Effects Lenses,None,None,,,None,,,x,,,,,,,,,,,,,,,
2/3/12,Lensbaby,,,Macro Converter Extension Rings,Special Effects Lenses,None,None,,,None,Macro,,x,Not Specified By Manufacturer,,,,,,,,,,,,,,
8/25/08,Lensbaby,Muse Special Effects SLR,LBMP,Muse Special Effects SLR,Special Effects Lenses,Universal,PL Mount,,,None,,37mm,x,,,,,,,,,,,,,,,
8/25/08,Lensbaby,Muse Special Effects SLR,LBM2,Muse Special Effects SLR,Special Effects Lenses,Canon,Canon EF,,,None,,37mm,x,,,,,,,,,,,,,,,
8/25/08,Lensbaby,Muse Special Effects SLR,LBM2,Muse Special Effects SLR,Special Effects Lenses,Leica,Leica R,,,None,,37mm,x,,,,,,,,,,,,,,,
8/25/08,Lensbaby,Muse Special Effects SLR,LBM2,Muse Special Effects SLR,Special Effects Lenses,Nikon,Nikon F,,,None,,37mm,x,,,,,,,,,,,,,,,
8/25/08,Lensbaby,Muse Special Effects SLR,LBM2,Muse Special Effects SLR,Special Effects Lenses,Olympus,Four Thirds,,,None,,37mm,x,,,,,,,,,,,,,,,
8/25/08,Lensbaby,Muse Special Effects SLR,LBM2,Muse Special Effects SLR,Special Effects Lenses,Pentax,Pentax K,,,None,,37mm,x,,,,,,,,,,,,,,,
8/25/08,Lensbaby,Muse Special Effects SLR,LBM2,Muse Special Effects SLR,Special Effects Lenses,Sony,Sony,,,None,,37mm,x,,,,,,,,,,,,,,,
8/25/08,Lensbaby,Muse Special Effects SLR,,Muse Special Effects SLR Lens with Plastic Optic,Special Effects Lenses,Canon,Canon EF,,,None,,37mm,x,,,,,,,,,,,,,,,
8/25/08,Lensbaby,Muse Special Effects SLR,LBMP,Muse Special Effects SLR Lens with Plastic Optic,Special Effects Lenses,Nikon,Nikon F,,,None,,37mm,x,,,,,,,,,,,,,,,
8/25/08,Lensbaby,Muse Special Effects SLR,LBMP,Muse Special Effects SLR Lens with Plastic Optic,Special Effects Lenses,Olympus,Four Thirds,,,None,,37mm,x,,,,,,,,,,,,,,,
8/25/08,Lensbaby,Muse Special Effects SLR,LBMP,Muse Special Effects SLR Lens with Plastic Optic,Special Effects Lenses,None,None,,,None,,37mm,x,,,,,,,,,,,,,,,
8/25/08,Lensbaby,Muse Special Effects SLR,LBMP,Muse Special Effects SLR Lens with Plastic Optic,Special Effects Lenses,Sony,Sony A,,,None,,37mm,x,,,,,,,,,,,,,,,
8/26/08,Lensbaby,,,Optic Kit,Special Effects Lenses,None,None,,,None,,,x,,,,,,,,,,,,,,,
10/24/06,Lensbaby,,,Original,Special Effects Lenses,Nikon,Nikon,,,None,,37mm,x,,,,,,,,,,,,,,,
8/26/08,Lensbaby,,,Pinhole/Zone Plate Optic,Special Effects Lenses,None,None,,,None,,None,x,,,,,,,,,,,,,,,
8/26/08,Lensbaby,,,Plastic Optic,Special Effects Lenses,None,None,,,None,,,x,,,,,,,,,,,,,,,
10/8/10,Lensbaby,Scout Fisheye,LBSFE,Scout Fisheye,Special Effects Lenses,Canon,Canon EF,,,None,Fisheye,,x,,,,,,,,,,,,,,,
10/8/10,Lensbaby,Scout Fisheye,LBSFE,Scout Fisheye,Special Effects Lenses,Nikon,Nikon F,,,None,Fisheye,,x,,,,,,,,,,,,,,,
10/8/10,Lensbaby,Scout Fisheye,LBSFE,Scout Fisheye,Special Effects Lenses,Sony,Sony,,,None,Fisheye,,x,,,,,,,,,,,,,,,
10/8/10,Lensbaby,Scout Fisheye,LBSFE,Scout Fisheye,Special Effects Lenses,Olympus,Four Thirds,,,None,Fisheye,,x,,,,,,,,,,,,,,,
10/8/10,Lensbaby,Scout Fisheye,LBSFE,Scout Fisheye,Special Effects Lenses,Pentax,Pentax K,,,None,Fisheye,,x,,,,,,,,,,,,,,,
8/26/08,Lensbaby,,,Single Glass Optic,Special Effects Lenses,None,None,,,None,,None,x,,,,,,,,,,,,,,,
10/20/09,Lensbaby,Soft Focus Optic,,Soft Focus Optic,Special Effects Lenses,None,None,,,None,,,x,,,,,,,,,,,,,,,
9/15/14,Lensbaby,Spark 50mm,LBSESP,Spark 50mm f/2,Special Effects Lenses,Canon,Canon EF,,Prime Lenses,50mm,,37mm,x,,,,,,,,,,,,,,,
9/15/14,Lensbaby,Spark 50mm,LBSESP,Spark 50mm f/2,Special Effects Lenses,Nikon,Nikon F,,Prime Lenses,50mm,,37mm,x,,,,,,,,,,,,,,,
8/29/12,Lensbaby,Spark 50mm f/5.6,LBSP,Spark 50mm f/5.6,Special Effects Lenses,Canon,Canon EF,,Prime Lenses,50mm,,37mm,x,"3 x 3 x 3"" (7.62 x 7.62 x 7.62cm)",,,,,,,,,,,,,,
8/29/12,Lensbaby,Spark 50mm f/5.6,LBSP,Spark 50mm f/5.6,Special Effects Lenses,Nikon,Nikon F,,Prime Lenses,50mm,,37mm,x,"3 x 3 x 3"" (7.62 x 7.62 x 7.62cm)",,,,,,,,,,,,,,
2/24/16,Lensbaby,Spark Duo,,Spark Duo,Special Effects Lenses,Canon,Canon EF,,,None,,37mm,x,"3 x 3 x 3"" (7.62 x 7.62 x 7.62 cm)",,,,,,,,,,,,,,
