manufactered_date,brand,series,model,name,categories,for_brand,for_lens_model,with_adapter,zooms_primes,focal_lengths,special_designs,filter_thread,brand_lens_hood,dimensions,format_compatibility,,,,,,,,,,,,,
8/29/13,Bower,,SLY1620,16mm f/2 Wide-Angle,SLR Lenses,Nikon,Nikon F,,Prime Lenses,16mm,,77mm,xx,"3.27 x 3.52"" (83 x 89.4mm)",APS-C,,,,,,,,,,,,,
8/29/13,Bower,,SLY1620,16mm f/2 Wide-Angle,SLR Lenses,"Panasonic, Olympus",Four Thirds,,Prime Lenses,16mm,,77mm,xx,"3.27 x 3.52"" (83 x 89.4mm)",Four Thirds,,,,,,,,,,,,,
8/29/13,Bower,,SLY1620,16mm f/2 Wide-Angle,Mirrorless System Lenses,"Panasonic, Olympus",Micro Four Thirds,,Prime Lenses,16mm,,77mm,xx,"3.27 x 4.56"" (83 x 115.7mm)",Micro Four Thirds,,,,,,,,,,,,,
8/29/13,Bower,,SLY1620,16mm f/2 Wide-Angle,SLR Lenses,Pentax,Pentax K,,Prime Lenses,16mm,,77mm,xx,"3.27 x 3.52"" (83 x 89.4mm)",Pentax Digital (APS-C),,,,,,,,,,,,,
8/29/13,Bower,,SLY1620,16mm f/2 Wide-Angle,SLR Lenses,Sony,"Sony Alpha, Minolta AF",,Prime Lenses,16mm,,77mm,xx,"3.27 x 3.52"" (83 x 89.4mm)",DSLR (APS-C Sensor),,,,,,,,,,,,,
8/29/13,Bower,,SLY1620,16mm f/2 Wide-Angle,Mirrorless System Lenses,Sony,Sony E,,Prime Lenses,16mm,,77mm,xx,"3.27 x 4.56"" (83 x 115.7mm)",Sony NEX (APS-C),,,,,,,,,,,,,
8/29/13,Bower,,SLY1620,16mm f/2 Wide-Angle,Mirrorless System Lenses,Samsung,Samsung NX,,Prime Lenses,16mm,,77mm,xx,"3.27 x 4.56"" (83 x 115.7mm)",APS-C,,,,,,,,,,,,,
1/29/14,Bower,,SLY16VD,16mm T2.2 Cine,Digital Cine Lenses,Canon,Canon EF-M,,Prime Lenses,16mm,,77mm,xx,"Diameter 3.4"" (87mm)",,,,,,,,,,,,,,
1/29/14,Bower,,SLY16VD,16mm T2.2 Cine,Digital Cine Lenses,Canon,Canon EF,,Prime Lenses,16mm,,77mm,xx,"3.3 x 3.5"" (83.0 x 89.4mm)",,,,,,,,,,,,,,
1/29/14,Bower,,SLY16VD,16mm T2.2 Cine,Digital Cine Lenses,Fujifilm,Fujifilm X,,Prime Lenses,16mm,,77mm,xx,"3.3 x 4.6"" (83.0 x 115.7mm)",,,,,,,,,,,,,,
1/29/14,Bower,,SLY16VD,16mm T2.2 Cine,Digital Cine Lenses,Nikon,Nikon F,,Prime Lenses,16mm,,77mm,xx,"3.3 x 3.4"" (83.0 x 86.9mm)",,,,,,,,,,,,,,
1/29/14,Bower,,SLY16VD,16mm T2.2 Cine,Digital Cine Lenses,"Panasonic, Olympus",Micro Four Thirds,,Prime Lenses,16mm,,77mm,xx,"3.3 x 4.5"" (83.0 x 114.2mm)",,,,,,,,,,,,,,
1/29/14,Bower,,SLY16VD,16mm T2.2 Cine,Digital Cine Lenses,Pentax,Pentax K,,Prime Lenses,16mm,,77mm,xx,"3.3 x 3.5"" (83.0 x 87.9mm)",,,,,,,,,,,,,,
1/29/14,Bower,,SLY16VD,16mm T2.2 Cine,Digital Cine Lenses,Sony,Sony E,,Prime Lenses,16mm,,77mm,xx,"3.3 x 4.5"" (83.0 x 114.2mm)",,,,,,,,,,,,,,
1/29/14,Bower,,SLY16VD,16mm T2.2 Cine,Digital Cine Lenses,Sony,Sony A,,Prime Lenses,16mm,,77mm,xx,"3.3 x 3.5"" (81.6 x 88.9mm)",,,,,,,,,,,,,,
3/14/12,Bower,,SLY2414,24mm f/1.4 Ultra-Fast Wide-Angle,SLR Lenses,Canon,Canon EF,,Prime Lenses,24mm,Wide-Angle,77mm,xx,"3.5 x 4.5"" (8.89 x 11.43 cm)",35mm Film / Full-Frame  ,,,,,,,,,,,,,
3/14/12,Bower,,SLY2414,24mm f/1.4 Ultra-Fast Wide-Angle,SLR Lenses,Nikon,Nikon F,,Prime Lenses,24mm,Wide-Angle,77mm,xx,"3.5 x 4.5"" (8.89 x 11.43cm)",,,,,,,,,,,,,,
7/11/12,Bower,,SLY2414,24mm f/1.4 Ultra-Fast Wide-Angle,SLR Lenses,Olympus,Four Thirds,,Prime Lenses,24mm,Wide-Angle,77mm,xx,"3.27 x 4.06"" (83.06 x 103mm)",Four Thirds,,,,,,,,,,,,,
3/14/12,Bower,,SLY2414,24mm f/1.4 Ultra-Fast Wide-Angle,SLR Lenses,Pentax,Pentax K,,Prime Lenses,24mm,Wide-Angle,77mm,xx,"3.5 x 4.5"" (8.89 x 11.43cm)",35mm Film / Full-Frame Digital Sensor DSLR (APS-C Sensor),,,,,,,,,,,,,
3/14/12,Bower,,SLY2414,24mm f/1.4 Ultra-Fast Wide-Angle,SLR Lenses,Sony,"Sony Alpha, Minolta AF",,Prime Lenses,24mm,Wide-Angle,77mm,xx,"3.5 x 4.5"" (8.89 x 11.43cm)",35mm Film / Full-Frame Digital Sensor DSLR (APS-C Sensor),,,,,,,,,,,,,
7/11/12,Bower,,SLY2414,24mm f/1.4 Ultra-Fast Wide-Angle,Mirrorless System Lenses,Samsung,Samsung NX,,Prime Lenses,24mm,Wide-Angle,77mm,xx,"3.27 x 4.57"" (83 x 116mm)",,,,,,,,,,,,,,
6/27/13,Bower,,SLY24TS,24mm f/3.5 Wide-Angle Tilt-Shift,SLR Lenses,Canon,Canon EF,,Prime Lenses,24mm,Tilt-Shift/PC,82mm,xx,"3.39 x 4.35"" (86 x 110.5mm)",35mm Film / Full-Frame  ,,,,,,,,,,,,,
6/27/13,Bower,,SLY24TS,24mm f/3.5 Wide-Angle Tilt-Shift,SLR Lenses,Nikon,Nikon F,,Prime Lenses,24mm,Tilt-Shift/PC,82mm,xx,"Diameter 3.3"" (83mm)",,,,,,,,,,,,,,
6/27/13,Bower,,SLY24TS,24mm f/3.5 Wide-Angle Tilt-Shift,SLR Lenses,Sony,Sony A,,Prime Lenses,24mm,Tilt-Shift/PC,82mm,xx,"3.39 x 4.35"" (86 x 110.5mm)",,,,,,,,,,,,,,
4/30/13,Bower,,SLY24VD,24mm T/1.5 Ultra-Fast Wide-Angle Cine,Digital Cine Lenses,Canon,Canon EF,,Prime Lenses,24mm,,77mm,xx,"Diameter 3.3"" (83mm)",,,,,,,,,,,,,,
4/30/13,Bower,,SLY24VD,24mm T/1.5 Ultra-Fast Wide-Angle Cine,Digital Cine Lenses,Nikon,Nikon F,,Prime Lenses,24mm,Wide-Angle,77mm,xx,"Diameter 3.3"" (83mm)",,,,,,,,,,,,,,
4/30/13,Bower,,SLY24VD,24mm T/1.5 Ultra-Fast Wide-Angle Cine,Digital Cine Lenses,Olympus,Four Thirds,,Prime Lenses,24mm,Wide-Angle,77mm,xx,"Diameter 3.3"" (83mm)",,,,,,,,,,,,,,
4/30/13,Bower,,SLY24VD,24mm T/1.5 Ultra-Fast Wide-Angle Cine,Digital Cine Lenses,Samsung,Samsung NX,,Prime Lenses,24mm,Wide-Angle,77mm,xx,"Diameter 3.3"" (83mm)",,,,,,,,,,,,,,
4/30/13,Bower,,SLY24VD,24mm T/1.5 Ultra-Fast Wide-Angle Cine,Digital Cine Lenses,Sony,Sony E,,Prime Lenses,24mm,Wide-Angle,77mm,xx,"Diameter 3.3"" (83mm)",,,,,,,,,,,,,,
4/30/13,Bower,,SLY24VD,24mm T/1.5 Ultra-Fast Wide-Angle Cine,Digital Cine Lenses,Sony,Sony A,,Prime Lenses,24mm,Wide-Angle,77mm,xx,"Diameter 3.3"" (83mm)",,,,,,,,,,,,,,
8/29/13,Bower,,SLY30063,300mm f/6.3 Mirror,Mirrorless System Lenses,Canon,Canon EF-M,,Prime Lenses,300mm,Mirror,None,xx,"2.6 x 2.9"" (65 x 74 mm)",,,,,,,,,,,,,,
8/29/13,Bower,,SLY30063,300mm f/6.3 Mirror,Mirrorless System Lenses,Fujifilm,Fujifilm X,,Prime Lenses,300mm,Mirror,None,xx,"2.6 x 2.9"" (65 x 74 mm)",,,,,,,,,,,,,,
8/29/13,Bower,,SLY30063,300mm f/6.3 Mirror,Mirrorless System Lenses,"Panasonic, Olympus",Micro Four Thirds,,Prime Lenses,300mm,Mirror,None,xx,"2.6 x 2.9"" (65 x 74mm)",Micro Four Thirds,,,,,,,,,,,,,
8/29/13,Bower,,SLY30063,300mm f/6.3 Mirror,Mirrorless System Lenses,Sony,Sony E,,Prime Lenses,300mm,Mirror,None,xx,"2.6 x 2.9"" (65 x 74 mm)",,,,,,,,,,,,,,
6/3/11,Bower,,SLY3514,35mm f/1.4 Ultra Fast Wide-Angle,SLR Lenses,Canon,Canon EF,,Prime Lenses,35mm,,77mm,xx,"3.27 x 4.29"" (83 x 109 mm)",35mm Film / Full-Frame  ,,,,,,,,,,,,,
6/3/11,Bower,,SLY3514,35mm f/1.4 Ultra Fast Wide-Angle,SLR Lenses,Nikon,Nikon F,,Prime Lenses,35mm,,77mm,xx,"3.27 x 4.29"" (83 x 109mm)",,,,,,,,,,,,,,
7/11/12,Bower,,SLY3514,35mm f/1.4 Ultra Fast Wide-Angle,SLR Lenses,Olympus,Four Thirds,,Prime Lenses,35mm,,77mm,xx,"3.27 x 4.60"" (83 x 116.8mm)",Four Thirds,,,,,,,,,,,,,
6/3/11,Bower,,SLY3514,35mm f/1.4 Ultra Fast Wide-Angle,SLR Lenses,Pentax,Pentax K,,Prime Lenses,35mm,,77mm,xx,"3.27 x 4.29"" (83 x 109 mm)",,,,,,,,,,,,,,
6/3/11,Bower,,SLY3514,35mm f/1.4 Ultra Fast Wide-Angle,SLR Lenses,Sony,"Sony Alpha, Minolta AF",,Prime Lenses,35mm,,77mm,xx,"3.27 x 4.29"" (83 x 109mm)",35mm Film / Full-Frame Digital Sensor DSLR (APS-C Sensor),,,,,,,,,,,,,
7/11/12,Bower,,SLY3514,35mm f/1.4 Ultra Fast Wide-Angle,Mirrorless System Lenses,Samsung,Samsung NX,,Prime Lenses,35mm,Wide-Angle,77mm,xx,"3.27 x 3.02"" (83 x 76.8mm)",,,,,,,,,,,,,,
7/11/12,Bower,,SLY35VD,35mm T/1.5 Cine,Digital Cine Lenses,Canon,Canon EF,,Prime Lenses,35mm,,77mm,xx,"2.3 x 4.4""  (83.0 x 111.5cm)",,,,,,,,,,,,,,
7/11/12,Bower,,SLY35VD,35mm T/1.5 Cine,Digital Cine Lenses,Nikon,Nikon F,,Prime Lenses,35mm,,77mm,xx,"2.3 x 4.3""  (83.0 x 109.0cm)",,,,,,,,,,,,,,
7/11/12,Bower,,SLY35VD,35mm T/1.5 Cine,Digital Cine Lenses,Sony,Sony Alpha,,Prime Lenses,35mm,,77mm,xx,"2.3 x 4.4"" (83.0 x 111.0mm)",,,,,,,,,,,,,,
1/29/14,Bower,,SLY35VD,35mm T/1.5 Cine,Digital Cine Lenses,Sony,Sony E,,Prime Lenses,35mm,,77mm,xx,"2.3 x 5.4"" (83.0 x 137.5 mm)",,,,,,,,,,,,,,
3/30/09,Bower,,SLY50063,500mm f/6.3 High-Power Telephoto Miror,SLR Lenses,Universal,T-mount (T-thread),,Prime Lenses,500mm,Mirror,"Front: 95mm 
Rear: 34mm",xx,"3.86 x 4.69"" (98 x 119mm)",35mm Film / Full-Frame Digital Sensor DSLR (APS-C Sensor),,,,,,,,,,,,,
4/1/09,Bower,,SLY50063,500mm f/6.3 High-Power Telephoto Miror,SLR Lenses,Universal,T-mount ,Canon FD,Prime Lenses,500mm,Mirror,"Front: 95mm 
Rear: 34mm",xx,3.86 x 4.69  (98 x 119mm),,,,,,,,,,,,,,
4/28/09,Bower,,SLY50063,500mm f/6.3 High-Power Telephoto Miror,SLR Lenses,Canon,T-Mount (T-thread),Canon EF ,Prime Lenses,500mm,Mirror,"Front: 95mm 
Rear: 34mm",xx,3.86 x 4.69  (98 x 119mm),35mm Film / Full-Frame  ,,,,,,,,,,,,,
4/28/09,Bower,,SLY50063,500mm f/6.3 High-Power Telephoto Miror,SLR Lenses,Minolta,T-mount ,Minolta MD,Prime Lenses,500mm,Mirror,"Front: 95mm 
Rear: 34mm",xx,3.86 x 4.69  (98 x 119mm),,,,,,,,,,,,,,
4/28/09,Bower,,SLY50063,500mm f/6.3 High-Power Telephoto Miror,SLR Lenses,Sony,T-mount ,Sony A,Prime Lenses,500mm,Mirror,"Front: 95mm 
Rear: 34mm",xx,3.86 x 4.69  (98 x 119mm),,,,,,,,,,,,,,
4/28/09,Bower,,SLY50063,500mm f/6.3 High-Power Telephoto Miror,SLR Lenses,Nikon,T-mount (T-thread),Nikon F,Prime Lenses,500mm,Mirror,"Front: 95mm 
Rear: 34mm",xx,3.86 x 4.69  (98 x 119mm),,,,,,,,,,,,,,
4/28/09,Bower,,SLY50063,500mm f/6.3 High-Power Telephoto Miror,SLR Lenses,Olympus,T-mount ,Olympus OM,Prime Lenses,500mm,Mirror,"Front: 95mm 
Rear: 34mm",xx,3.86 x 4.69  (98 x 119mm),,,,,,,,,,,,,,
4/28/09,Bower,,SLY50063,500mm f/6.3 High-Power Telephoto Miror,SLR Lenses,Pentax,T-mount ,Pentax K,Prime Lenses,500mm,Mirror,"Front: 95mm 
Rear: 34mm",xx,3.86 x 4.69  (98 x 119mm),,,,,,,,,,,,,,
4/28/09,Bower,,SLY50063,500mm f/6.3 High-Power Telephoto Miror,SLR Lenses,Pentax,T-mount ,M42,Prime Lenses,500mm,Mirror,"Front: 95mm 
Rear: 34mm",xx,3.86 x 4.69  (98 x 119mm),,,,,,,,,,,,,,
3/30/09,Bower,,SLY5008,500mm f/8 High-Power Telephoto Miror,SLR Lenses,Universal,T-mount (T-thread),,Prime Lenses,500mm,Mirror,Rear: 30.5mm,xx,"3.03 x 3.44"" (7.70 x 8.74cm)",35mm Film / Full-Frame Digital Sensor DSLR (APS-C Sensor),,,,,,,,,,,,,
4/28/09,Bower,,SLY5008,500mm f/8 High-Power Telephoto Miror,SLR Lenses,Canon,T-Mount (T-thread),Canon FD,Prime Lenses,500mm,Mirror,Rear: 30.5mm,xx,"3.03 x 3.44"" (7.70 x 8.74 cm)",35mm Film / Full-Frame,,,,,,,,,,,,,
