manufactered_date,brand,series,model,name,categories,for_brand,for_lens_model,with_adapter,zooms_primes,focal_lengths,special_designs,filter_thread,brand_lens_hood,dimensions,format_compatibility
8/27/2008,Abakus,Stadium,381,381 Stadium 3.5mm T1.9,Digital Cine Lenses,"Universal, Sony",B4 Mount,,Prime Lenses,3.5mm,,None,x,"4.3 x 7.4"" (11 x 18.8cm)",
10/6/2011,Zunow,,,11-16mm f/2.8,Digital Cine Lenses,Sony,E Mount,,Zoom Lenses,11-16mm,Wide-Angle,82mm,x,,
