for_brand,for_lens_model,with_adapter,zooms_primes,speical_designs,format_comatibility,,,,,,,,,,,,,
Samsung,Samsung NX,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
Olympus,Four Thirds,,,,,,,,,,,,,,,,,
Canon,Canon EF-S,,,,,,,,,,,,,,,,,
Sony,Sony E,,,,,,,,,,,,,,,,,
Sony,Sony E / Minolta AF,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
Samsung,Samsung NX,,,,,,,,,,,,,,,,,
Pentax,Pentax K,,,,,,,,,,,,,,,,,
Canon,Canon EF,,,,,,,,,,,,,,,,,
Olympus,Four Thirds,,,,,,,,,,,,,,,,,
Sony,Sony A,,,,,,,,,,,,,,,,,
Samsung,Samsung NX,,,,,,,,,,,,,,,,,
Canon,Canon EF,,,,,,,,,,,,,,,,,
Universal,PL Mount,,,,,,,,,,,,,,,,,
Canon,Canon EF,,,,,,,,,,,,,,,,,
Canon,Canon EF,,,,,,,,,,,,,,,,,
Universal,PL Mount,,,,,,,,,,,,,,,,,
Canon,Canon EF,,,,,,,,,,,,,,,,,
Canon,Canon EF,,,,,,,,,,,,,,,,,
Canon,Canon EF,,,,,,,,,,,,,,,,,
Canon,Canon EF,,,,,,,,,,,,,,,,,
Canon,Canon EF,,,,,,,,,,,,,,,,,
Canon,Canon EF,,,,,,,,,,,,,,,,,
Canon,Canon EF,,,,,,,,,,,,,,,,,
Canon,EF-M,,,,,,,,,,,,,,,,,
Canon,EF-M,,,,,,,,,,,,,,,,,
Canon,EF-M,,,,,,,,,,,,,,,,,
Canon,Canon EF-M,,,,,,,,,,,,,,,,,
Canon,EF-M,,,,,,,,,,,,,,,,,
Canon,Canon EF-M,,,,,,,,,,,,,,,,,
Canon,Canon EF-M,,,,,,,,,,,,,,,,,
Canon,EF-M,,,,,,,,,,,,,,,,,
Canon,Canon EF-S,,,,,,,,,,,,,,,,,
Canon,Canon EF-S,,,,,,,,,,,,,,,,,
Canon,Canon EF-S,,,,,,,,,,,,,,,,,
Canon,Canon EF,,,,,,,,,,,,,,,,,
Universal,PL Mount,,,,,,,,,,,,,,,,,
Universal,C-Mount,,,,,,,,,,,,,,,,,
Fujifilm,Fujifilm X,,,,,,,,,,,,,,,,,
Fujifilm,X-Mount,,,,,,,,,,,,,,,,,
Fujifilm,X-Mount,,,,,,,,,,,,,,,,,
Fujifilm,X-Mount,,,,,,,,,,,,,,,,,
Fujifilm,X-Mount,,,,,,,,,,,,,,,,,
Fujifilm,X-Mount,,,,,,,,,,,,,,,,,
Fujifilm,X-Mount,,,,,,,,,,,,,,,,,
Fujifilm,X-Mount,,,,,,,,,,,,,,,,,
Fujifilm,Fujifilm X mount,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Universal,PL Mount,,,,,,,,,,,,,,,,,
Universal,"2/3"" Bayonet",,,,,,,,,,,,,,,,,
Universal,B4 Mount,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Universal,B4 Mount,,,,,,,,,,,,,,,,,
Universal,PL Mount,,,,,,,,,,,,,,,,,
Universal,PL Mount,,,,,,,,,,,,,,,,,
Universal,PL Mount,,,,,,,,,,,,,,,,,
"Panasonic, Olympus",Micro Four Thirds,,,,,,,,,,,,,,,,,
Canon,Canon EF-M,,,,,,,,,,,,,,,,,
Fujifilm,Fujifilm X,,,,,,,,,,,,,,,,,
Sony,Sony (E Mount for NEX),,,,,,,,,,,,,,,,,
Fujifilm,X-Mount,,,,,,,,,,,,,,,,,
Leica,Leica M Mount,,,,,,,,,,,,,,,,,
Leica,Leica L Mount,,,,,,,,,,,,,,,,,
Sony,Sony E (Full-Frame),,,,,,,,,,,,,,,,,
Sony,Sony E,,,,,,,,,,,,,,,,,
Sony,Sony E,,,,,,,,,,,,,,,,,
,Other,,,,,,,,,,,,,,,,,
Canon,Canon,,,,,,,,,,,,,,,,,
Nikon,Nikon,,,,,,,,,,,,,,,,,
Olympus,Olympus,,,,,,,,,,,,,,,,,
Pentax,Pentax K,,,,,,,,,,,,,,,,,
Sony,Sony,,,,,,,,,,,,,,,,,
Canon,Canon EF,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
Universal,T-Mount (T-thread),,,,,,,,,,,,,,,,,
Canon,T-Mount (T-thread),Canon EF,,,,,,,,,,,,,,,,
Nikon,T-mount (T-thread),Nikon F,,,,,,,,,,,,,,,,
Pentax,Pentax K / T-Mount,,,,,,,,,,,,,,,,,
"Panasonic, Olympus",Micro Four Thirds,,,,,,,,,,,,,,,,,
Sony,Sony E,,,,,,,,,,,,,,,,,
Sony,Sony / Minolta / T-Mount,,,,,,,,,,,,,,,,,
Minolta,MD Mount,,,,,,,,,,,,,,,,,
Minolta,Minolta Maxxum,,,,,,,,,,,,,,,,,
Minolta,Minolta Maxxum,,,,,,,,,,,,,,,,,
Minolta,MD Mount,,,,,,,,,,,,,,,,,
"Canon, Nikon, Pentax, Panasonic, Olympus",Kowa Mount Required,,,,,,,,,,,,,,,,,
Leica,Leica R Mount,,,,,,,,,,,,,,,,,
Leica,Leica M Mount,,,,,,,,,,,,,,,,,
Leica,Leica M Mount,,,,,,,,,,,,,,,,,
Leica,Leica R Mount,,,,,,,,,,,,,,,,,
Leica,Leica M Mount,,,,,,,,,,,,,,,,,
Leica,Leica R Mount,,,,,,,,,,,,,,,,,
Leica,Leica L Mount,,,,,,,,,,,,,,,,,
Leica,Leica M,,,,,,,,,,,,,,,,,
Universal,PL Mount,,,,,,,,,,,,,,,,,
Leica,Leica M Screw Mount,,,,,,,,,,,,,,,,,
Leica,Leica R,,,,,,,,,,,,,,,,,
Leica,T-Mount,,,,,,,,,,,,,,,,,
Leica,Leica L Mount,,,,,,,,,,,,,,,,,
Leica,Leica L Mount,,,,,,,,,,,,,,,,,
Leica,Leica R,,,,,,,,,,,,,,,,,
Leica,Leica T Mount,,,,,,,,,,,,,,,,,
Leica,Leica M Mount,,,,,,,,,,,,,,,,,
Leica,Leica M Mount,,,,,,,,,,,,,,,,,
Leica,Leica R Mount,,,,,,,,,,,,,,,,,
Leica,Leica R,,,,,,,,,,,,,,,,,
Leica,Leica L Mount,,,,,,,,,,,,,,,,,
Leica,Leica L Mount,,,,,,,,,,,,,,,,,
Universal,37mm,,,,,,,,,,,,,,,,,
None,None,,,,,,,,,,,,,,,,,
Canon,Canon EF,,,,,,,,,,,,,,,,,
Nikon,Nikon F,,,,,,,,,,,,,,,,,
"Panasonic, Olympus",Micro Four Thirds,,,,,,,,,,,,,,,,,
Pentax,Pentax K,,,,,,,,,,,,,,,,,
