Brand," DNLA"," SKU_NO"," SEQNUM"," SPEC_NAME"," SPEC_VALUE"," SPEC_VALUE_RAW"," "
185338,N,9669,4,Weight,"Stabilizer: 1.55 lb (0.7 kg)
Counterweight (including bolt): 13.8 oz (391.2 g)","Stabilizer: 1.55 lb (0.7 kg)
Counterweight (including bolt): 13.8 oz (391.2 g)"
185338,N,8310,1,Misc,,
185338,N,8310,1,Material,Aluminum,Aluminum
185338,N,8310,2,Dimensions,"6.75 x 1"" (17.15 x 2.54 cm)","6.75 x 1"" (17.15 x 2.54 cm)"
185338,N,8310,3,Weight,"2.4 oz (68 g)","2.4 oz (68 g)"
185338,N,6345,1,Misc,,
185338,N,6345,1,"Maximum Load","7 lb (3.18 kg)","7 lb (3.18 kg)"
185338,N,6345,2,Sections,3,3
185338,N,6345,3,"Maximum Length","48.75"" (123.8 cm)","48.75"" (123.8 cm)"
185338,N,6345,4,Dimensions,"20.25 x 4 x 8"" (51.4 x 10.2 x 20.3 cm)","20.25 x 4 x 8"" (51.4 x 10.2 x 20.3 cm)"
185338,N,6345,5,Weight,"Stabilizer: 3.4 lb (1.5 kg)
Counterweight (each): 5.6 oz (158.8 g)","Stabilizer: 3.4 lb (1.5 kg)
Counterweight (each): 5.6 oz (158.8 g)"
185338,N,6344,1,Misc,,
185338,N,6344,1,"Camera Screw(s)","1/4""-20 and 3/8""-16","1/4""-20 and 3/8""-16"
185338,N,6343,1,Misc,,
185338,N,6343,1,Dimensions,"40.25 x 0.38"" (102.2 x 0.95 cm)","40.25 x 0.38"" (102.2 x 0.95 cm)"
185338,N,6343,2,Weight,"1.6 oz (45 g)","1.6 oz (45 g)"
185338,N,6342,1,Misc,,
185338,N,6342,1,Dimensions,"79.25 x 0.38"" (201.3 x 0.95 cm)","79.25 x 0.38"" (201.3 x 0.95 cm)"
185338,N,6342,2,Weight,"2.4 oz (68 g)","2.4 oz (68 g)"
185338,N,6341,1,Misc,,
185338,N,6341,1,Dimensions,"119 x 0.38"" (302.3 x 0.95 cm)","119 x 0.38"" (302.3 x 0.95 cm)"
185338,N,6341,2,Weight,"4 oz (113 g)","4 oz (113 g)"
185338,N,6340,1,Misc,,
185338,N,6340,1,Dimensions,"0.4 x 63"" (1 x 160 cm)","0.4 x 63"" (1 x 160 cm)"
185338,N,6340,2,Weight,"1.7 oz (49 g)","1.7 oz (49 g)"
185338,N,6291,1,Misc,,
185338,N,6291,1,Length,"3.75"" (9.5 cm)","3.75"" (9.5 cm)"
185338,N,6291,2,Weight,"3.2 oz (90.7 g)","3.2 oz (90.7 g)"
185338,N,6290,1,Misc,,
185338,N,6290,1,Length,"5.5"" (14 cm)","5.5"" (14 cm)"
185338,N,6290,2,Weight,"4.8 oz (136 g)","4.8 oz (136 g)"
185338,N,6285,1,Misc,,
185338,N,6285,1,"Quick Release Plate","Manfrotto 501PL type","Manfrotto 501PL type"
185338,N,6285,2,"Camera Screw(s)","1/4""-20 and 3/8""-16","1/4""-20 and 3/8""-16"
185338,N,6285,3,"Mounting Threads","1 x 1/4""-20 1 x 3/8""-16","1 x 1/4""-20 1 x 3/8""-16"
185338,N,6285,4,"Plate Length","3.75"" (9.5 cm)","3.75"" (9.5 cm)"
185338,N,6285,5,"Dimensions (LxWxH)","Quick-Release Adapter: 3.75 x 2.90 x 0.75"" (9.5 x 7.4 x 1.9 cm)","Quick-Release Adapter: 3.75 x 2.90 x 0.75"" (9.5 x 7.4 x 1.9 cm)"
185338,N,6285,6,Weight,"9.6 oz (272 g)","9.6 oz (272 g)"
185338,N,6284,1,Misc,,
185338,N,6284,1,"Quick Release Plate","Manfrotto 501PL type","Manfrotto 501PL type"
185338,N,6284,2,"Camera Screw(s)","1/4""-20 and 3/8""-16","1/4""-20 and 3/8""-16"
185338,N,6284,3,"Mounting Threads","1 x 1/4""-20 1 x 3/8""-16","1 x 1/4""-20 1 x 3/8""-16"
185338,N,6284,4,"Plate Length","5.5"" (14 cm)","5.5"" (14 cm)"
185338,N,6284,5,"Dimensions (LxWxH)","Quick-Release Adapter: 3.75 x 2.90 x 0.75"" (9.5 x 7.4 x 1.9 cm)","Quick-Release Adapter: 3.75 x 2.90 x 0.75"" (9.5 x 7.4 x 1.9 cm)"
185338,N,6284,6,Weight,"10.4 oz (295 g)","10.4 oz (295 g)"
185338,N,10286,1,Misc,,
