BRAND,SKU_NO,SEQNUM,CAPTION,FILE_NAME,THUMBNAIL,FULL_URL
Axler,6342,1,Alternate View,IMG_492070.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_492070.jpg
Axler,6342,2,Alternate View,IMG_492072.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_492072.jpg
Axler,6343,1,Alternate View,IMG_492070.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_492070.jpg
Axler,6343,2,Alternate View,IMG_492072.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_492072.jpg
Axler,6344,1,Bottom & Detailed Views,IMG_466550.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2000x2000/IMG_466550.jpg
Axler,6344,2,In-Use - Fore-Aft Plate Slide,IMG_478922.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_478922.jpg
Axler,6344,3,In-Use - Lateral Plate Slide,IMG_478923.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_478923.jpg
Axler,6345,1,Full Height,IMG_439397.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_439397.jpg
Axler,6345,2,Sliding Handle,IMG_439398.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_439398.jpg
Axler,6345,3,Bottom View,IMG_439399.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_439399.jpg
Axler,6345,4,Suggested View,IMG_439400.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_439400.jpg
Axler,6345,5,Shown in Use,IMG_465251.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_465251.jpg
Axler,6345,6,Gimbal Handle,IMG_439401.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_439401.jpg
Axler,6345,7,Adjustable Counterweight,IMG_439402.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_439402.jpg
Axler,6345,8,Retractable Spikes,IMG_439403.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_439403.jpg
Axler,6345,9,Camera Plate,IMG_439404.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_439404.jpg
Axler,6345,10,Fore-Aft Plate Slide,IMG_439405.jpg,Y,http://www.bhphotovideo.com/images/multiple_images/images2500x2500/IMG_439405.jpg
