BRAND,DNLA,SKU_NO,SEQNUM,INCLUDES,INCLUDES_RAW,INCLUDED_QTY,LINK_SKU
Axler,N,8480,5,Baseplate,Baseplate,1,
Axler,N,8480,6,"15mm Rods (11.75"")","15mm Rods (11.75"")",2,
Axler,N,8480,7,M4x10 Screws,M4x10 Screws,2,
Axler,N,8480,8,M4x8 Screws,M4x8 Screws,3,
Axler,N,8480,9,M4x6 Screws,M4x6 Screws,3,
Axler,N,8480,10,"1/4""-20 Camera Screw","1/4""-20 Camera Screw",1,
Axler,N,8480,11,Allen Key,Allen Key,1,
Axler,N,8480,12,Arc T Key,Arc T Key,1,
Axler,N,8480,13,HDMI Cable Clamp,HDMI Cable Clamp,1,
Axler,N,8480,14,Micro-HDMI to HDMI Adapter Cable,Micro-HDMI to HDMI Adapter Cable,1,
Axler,N,8480,15,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,9645,1,Screw-On Feet,Screw-On Feet,4,
Axler,N,9645,2,"3/8""-16 Bushing","3/8""-16 Bushing",1,
Axler,N,9645,3,"7/64"" Hex Key","7/64"" Hex Key",1,
Axler,N,9645,4,T9 Hex Key,T9 Hex Key,1,
Axler,N,9645,5,Set Screws,Set Screws,2,
Axler,N,9645,6,Carry Case,Carry Case,1,
Axler,N,9645,7,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,9657,1,Carrying Case,Carrying Case,1,
Axler,N,9657,2,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,9669,1,Quick-Release Plate,Quick-Release Plate,1,
Axler,N,9669,2,Counterweight,Counterweight,1,
Axler,N,9669,3,Counterweight Bolt,Counterweight Bolt,1,
Axler,N,9669,4,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
Axler,N,10286,1,Ball Head,Ball Head,1,
Axler,N,10286,2,Limited 1-Year Warranty,Limited 1-Year Warranty,1,
